ZMH,108 Mile Ranch,CA,ZMH,108 Mile Ranch,
AAH,Aachen,DE,AAH,Aachen (Aachen/Merzbruck),Aachen/Merzbruck
AAL,Aalborg,DK,AAL,Aalborg,
AES,Aalesund,NO,AES,Aalesund (Vigra),Vigra
AAR,Aarhus,DK,AAR,Aarhus (Tirstrup),Tirstrup
JEG,Aasiaat,GL,JEG,Aasiaat,
ABD,Abadan,IR,ABD,Abadan,
ABF,Abaiang,KI,ABF,Abaiang,
ABA,Abakan,RU,ABA,Abakan,
ABW,Abau,PG,ABW,Abau,
YXX,Abbotsford,CA,YXX,Abbotsford,
AAW,Abbottabad,PK,AAW,Abbottabad,
EAB,Abbse,YE,EAB,Abbse,
AEH,Abecher,TD,AEH,Abecher,
AEA,Abemama Atoll,KI,AEA,Abemama Atoll,
OGO,Abengourou,CI,OGO,Abengourou,
ABZ,Aberdeen,GB,ABZ,Aberdeen (Dyce),Dyce
APG,Aberdeen,US,APG,Aberdeen (Phillips AAF),Phillips AAF
ABR,Aberdeen,US,ABR,Aberdeen (Municipal),Municipal
HQM,Aberdeen,US,HQM,Aberdeen,
AHB,Abha,SA,AHB,Abha,
ABJ,Abidjan,CI,ABJ,Abidjan (Felix Houphouet Boigny),Felix Houphouet Boigny
ABI,Abilene,US,DYS,Abilene (Dyess AFB),Dyess AFB
ABI,Abilene,US,ABI,Abilene (Municipal),Municipal
ABB,Abingdon,GB,ABB,Abingdon (RAF Station),RAF Station
ABG,Abingdon,AU,ABG,Abingdon,
VJI,Abingdon,US,VJI,Abingdon (Virginia Highlands),Virginia Highlands
ABO,Aboisso,CI,ABO,Aboisso,
AOD,Abou Deia,TD,AOD,Abou Deia,
AJS,Abreojos,MX,AJS,Abreojos,
AUH,Abu Dhabi,AE,AUH,Abu Dhabi (Abu Dhabi Intl),Abu Dhabi Intl
AUH,Abu Dhabi,AE,DHF,Abu Dhabi (Al Dhafra Military),Al Dhafra Military
AUH,Abu Dhabi,AE,AZI,Abu Dhabi (Bateen),Bateen
AEU,Abu Musa,IR,AEU,Abu Musa,
AUE,Abu Rudeis,EG,AUE,Abu Rudeis,
ABS,Abu Simbel,EG,ABS,Abu Simbel,
ABV,Abuja,NG,ABV,Abuja (International),International
ACD,Acandi,CO,ACD,Acandi,
ACA,Acapulco,MX,ACA,Acapulco (Alvarez International),Alvarez International
ARF,Acaricuara,CO,ARF,Acaricuara,
AGV,Acarigua,VE,AGV,Acarigua,
DDL,ACARS,**,DDL,ACARS,
ACC,Accra,GH,ACC,Accra (Kotoka),Kotoka
ACS,Achinsk,RU,ACS,Achinsk,
ACU,Achutupo,PA,ACU,Achutupo,
ADT,Ada,US,ADT,Ada,
ADK,Adak Island,US,ADK,Adak Island (Adak Island NS),Adak Island NS
ADA,Adana,TR,ADA,Adana,
UAB,Adana,TR,UAB,Adana (Adana-Incirlik Airbase),Adana-Incirlik Airbase
AEE,Adareil,SD,AEE,Adareil,
AAD,Ad-Dabbah,SD,AAD,Ad-Dabbah,
ADD,Addis Ababa,ET,ADD,Addis Ababa (Bole),Bole
ADL,Adelaide,AU,ADL,Adelaide,
ADE,Aden,YE,ADE,Aden (International),International
ADF,Adiyaman,TR,ADF,Adiyaman,
AER,Adler/Sochi,RU,AER,Adler/Sochi,
AZR,Adrar,DZ,AZR,Adrar,
ADG,Adrian,US,ADG,Adrian (Lenawee County),Lenawee County
AEG,Aek Godang,ID,AEG,Aek Godang,
AFR,Afore,PG,AFR,Afore,
AFO,Afton,US,AFO,Afton (Municipal),Municipal
AFT,Afutara,SB,AFT,Afutara (Afutara Aerodrome),Afutara Aerodrome
AFY,Afyon,TR,AFY,Afyon,
AJY,Agades,NE,AJY,Agades,
AGA,Agadir,MA,AGA,Agadir (Agadir Almassira),Agadir Almassira
IXA,Agartala,IN,IXA,Agartala (Singerbhil),Singerbhil
AGX,Agatti Island,IN,AGX,Agatti Island,
AUP,Agaun,PG,AUP,Agaun,
AGF,Agen,FR,AGF,Agen (La Garenne),La Garenne
AGZ,Aggeneys,ZA,AGZ,Aggeneys,
AKW,Aghajari,IR,AKW,Aghajari,
AGW,Agnew,AU,AGW,Agnew,
AGR,Agra,IN,AGR,Agra (Kheria),Kheria
AJI,Agri,TR,AJI,Agri,
AGQ,Agrinion,GR,AGQ,Agrinion,
ACL,Aguaclara,CO,ACL,Aguaclara,
BQN,Aguadilla,PR,BQN,Aguadilla (Borinquen),Borinquen
AGU,Aguascalientes,MX,AGU,Aguascalientes (Aguascalients),Aguascalients
AGJ,Aguni,JP,AGJ,Aguni,
AHE,Ahe,PF,AHE,Ahe,
AMD,Ahmedabad,IN,AMD,Ahmedabad,
AHS,Ahuas,HN,AHS,Ahuas,
AWZ,Ahwaz,IR,AWZ,Ahwaz,
AIW,Ai-Ais,NA,AIW,Ai-Ais,
AIH,Aiambak,PG,AIH,Aiambak,
AIK,Aiken,US,AIK,Aiken (Municipal),Municipal
AIL,Ailigandi,PA,AIL,Ailigandi,
AIP,Ailinglapalap Island,MH,AIP,Ailinglapalap Island,
AIM,Ailuk Island,MH,AIM,Ailuk Island,
ANW,Ainsworth,US,ANW,Ainsworth,
AIE,Aiome,PG,AIE,Aiome,
AEO,Aioun El Atrouss,MR,AEO,Aioun El Atrouss,
WSY,Airlie Beach,AU,WSY,Airlie Beach (Whitsunday Airstrip),Whitsunday Airstrip
AIC,Airok,MH,AIC,Airok,
AHL,Aishalton,GY,AHL,Aishalton,
ATP,Aitape,PG,ATP,Aitape (Airstrip),Airstrip
ATP,Aitape,PG,TAJ,Aitape (Tadji),Tadji
AIT,Aitutaki,CK,AIT,Aitutaki,
AYU,Aiyura,PG,AYU,Aiyura,
AJL,Aizawl,IN,AJL,Aizawl,
AJA,Ajaccio,FR,AJA,Ajaccio (Campo Dell Oro),Campo Dell Oro
AKK,Akhiok,US,AKK,Akhiok (Sea Plane Base),Sea Plane Base
KKI,Akiachak,US,KKI,Akiachak (Sea Plane Base),Sea Plane Base
AKI,Akiak,US,AKI,Akiak,
AKE,Akieni,GA,AKE,Akieni,
AXT,Akita,JP,AXT,Akita,
AJJ,Akjoujt,MR,AJJ,Akjoujt,
LAK,Aklavik,CA,LAK,Aklavik,
AKD,Akola,IN,AKD,Akola,
AKO,Akron,US,AKO,Akron (Washington Co),Washington Co
CAK,Akron/Canton,US,CAK,Akron/Canton (Akron/Canton Regional),Akron/Canton Regional
CAK,Akron/Canton,US,AKC,Akron/Canton (Fulton International),Fulton International
AKT,Akrotiri,CY,AKT,Akrotiri (RAF),RAF
AKU,Aksu,CN,AKU,Aksu,
SCO,Aktau,KZ,SCO,Aktau,
AKX,Aktyubinsk,KZ,AKX,Aktyubinsk,
AKV,Akulivik,CA,AKV,Akulivik,
AKR,Akure,NG,AKR,Akure,
AEY,Akureyri,IS,AEY,Akureyri,
KQA,Akutan,US,KQA,Akutan,
AAN,Al Ain,AE,AAN,Al Ain,
AAC,Al Arish,EG,AAC,Al Arish,
AAY,Al Ghaydah,YE,AAY,Al Ghaydah,
AHU,Al Hoceima,MA,AHU,Al Hoceima (Charif Al Idrissi),Charif Al Idrissi
AKH,Al Kharj,SA,AKH,Al Kharj (Prince Sultan Air Base),Prince Sultan Air Base
WWG,Al Koude,OM,WWG,Al Koude,
SOR,Al Thaurah,SY,SOR,Al Thaurah,
AAV,Alah,PH,AAV,Alah,
HOF,Alahsa,SA,HOF,Alahsa,
AUK,Alakanuk,US,AUK,Alakanuk,
NGZ,Alameda,US,NGZ,Alameda (NAS),NAS
ALM,Alamogordo,US,HMN,Alamogordo (Holloman AFB),Holloman AFB
ALM,Alamogordo,US,ALM,Alamogordo (Municipal),Municipal
XAL,Alamos,MX,XAL,Alamos,
ALS,Alamosa,US,ALS,Alamosa (Municipal),Municipal
ABC,Albacete,ES,ABC,Albacete (Los Llanos),Los Llanos
ABT,Al-Baha,SA,ABT,Al-Baha (Al-Aqiq),Al-Aqiq
ABY,Albany,US,ABY,Albany (Dougherty County),Dougherty County
ABY,Albany,US,NAB,Albany (NAS),NAS
ALB,Albany,US,ALB,Albany (International),International
CVO,Albany,US,CVO,Albany,
ALH,Albany,AU,ALH,Albany,
ALL,Albenga,IT,ALL,Albenga,
AEL,Albert Lea,US,AEL,Albert Lea,
LBI,Albi,FR,LBI,Albi (Le Sequestre),Le Sequestre
ABN,Albina,SR,ABN,Albina,
BUK,Albuq,YE,BUK,Albuq,
ABQ,Albuquerque,US,ABQ,Albuquerque (International),International
ABX,Albury,AU,ABX,Albury,
AYH,Alconbury,GB,AYH,Alconbury (RAF Station),RAF Station
ADH,Aldan,RU,ADH,Aldan,
ACI,Alderney,GB,ACI,Alderney (The Blaye),The Blaye
LEG,Aleg,MR,LEG,Aleg,
ALQ,Alegrete,BR,ALQ,Alegrete (Federal),Federal
WKK,Aleknagik,US,WKK,Aleknagik,
AED,Aleneva,US,AED,Aleneva,
ALT,Alenquer,BR,ALT,Alenquer,
ALP,Aleppo,SY,ALP,Aleppo (Nejrab),Nejrab
YLT,Alert,CA,YLT,Alert,
YAL,Alert Bay,CA,YAL,Alert Bay,
ALD,Alerta,PE,ALD,Alerta,
ALJ,Alexander Bay,ZA,ALJ,Alexander Bay (Kortdoorn),Kortdoorn
ALX,Alexander City,US,ALX,Alexander City (Thomas C Russell Field),Thomas C Russell Field
ALR,Alexandra,NZ,ALR,Alexandra,
ALY,Alexandria,EG,HBE,Alexandria (Borg El Arab),Borg El Arab
ALY,Alexandria,EG,ALY,Alexandria (El Nohza),El Nohza
AEX,Alexandria,US,ESF,Alexandria (Esler Field),Esler Field
AEX,Alexandria,US,AEX,Alexandria (International),International
AXN,Alexandria,US,AXN,Alexandria,
AXL,Alexandria,AU,AXL,Alexandria,
AXB,Alexandria Bay,US,AXB,Alexandria Bay,
AXD,Alexandroupolis,GR,AXD,Alexandroupolis (Demokritos),Demokritos
FJR,Al-Fujairah,AE,FJR,Al-Fujairah (Fujairah International),Fujairah International
AEI,Algeciras,ES,AEI,Algeciras,
AHO,Alghero,IT,AHO,Alghero (Fertilia),Fertilia
